         650788 function calls (646948 primitive calls) in 126.897 seconds

   Ordered by: cumulative time
   List reduced from 558 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       56    0.002    0.000  126.896    2.266 C:\CodeLearnling\note\note\C++\CPP-Bible\tools\atom_evidence_replay.py:1697(replay_card)
       56    0.010    0.000  126.849    2.265 C:\CodeLearnling\note\note\C++\CPP-Bible\tools\atom_evidence_replay.py:1390(replay_card)
      319    0.009    0.000  125.566    0.394 C:\Users\ASUS\AppData\Roaming\uv\python\cpython-3.13-windows-x86_64-none\Lib\subprocess.py:512(run)
      319    0.003    0.000  119.012    0.373 C:\Users\ASUS\AppData\Roaming\uv\python\cpython-3.13-windows-x86_64-none\Lib\subprocess.py:1178(communicate)
      319    0.007    0.000  118.881    0.373 C:\Users\ASUS\AppData\Roaming\uv\python\cpython-3.13-windows-x86_64-none\Lib\subprocess.py:1623(_communicate)
      638    0.005    0.000  118.856    0.186 C:\Users\ASUS\AppData\Roaming\uv\python\cpython-3.13-windows-x86_64-none\Lib\threading.py:1059(join)
      638    0.047    0.000  118.826    0.186 {method 'join' of '_thread._ThreadHandle' objects}
  638/319    0.003    0.000  118.779    0.372 C:\Users\ASUS\AppData\Roaming\uv\python\cpython-3.13-windows-x86_64-none\Lib\threading.py:1001(_bootstrap)
  638/319    0.085    0.000  118.776    0.372 C:\Users\ASUS\AppData\Roaming\uv\python\cpython-3.13-windows-x86_64-none\Lib\threading.py:1028(_bootstrap_inner)
  638/319    0.010    0.000  118.727    0.372 C:\Users\ASUS\AppData\Roaming\uv\python\cpython-3.13-windows-x86_64-none\Lib\threading.py:984(run)
  638/319    0.005    0.000  118.683    0.372 C:\Users\ASUS\AppData\Roaming\uv\python\cpython-3.13-windows-x86_64-none\Lib\subprocess.py:1614(_readerthread)
1914/1606    0.020    0.000  112.430    0.070 {method 'close' of '_io.TextIOWrapper' objects}
       57    0.010    0.000   71.608    1.256 C:\CodeLearnling\note\note\C++\CPP-Bible\tools\atom_evidence_replay.py:393(run_commands)
       56    0.004    0.000   53.692    0.959 C:\CodeLearnling\note\note\C++\CPP-Bible\tools\atom_evidence_replay.py:1345(_recompile_invariant)
      319    0.014    0.000    6.541    0.021 C:\Users\ASUS\AppData\Roaming\uv\python\cpython-3.13-windows-x86_64-none\Lib\subprocess.py:817(__init__)
      319    0.010    0.000    6.482    0.020 C:\Users\ASUS\AppData\Roaming\uv\python\cpython-3.13-windows-x86_64-none\Lib\subprocess.py:1452(_execute_child)
      319    6.420    0.020    6.420    0.020 {built-in method _winapi.CreateProcess}
  707/388  118.564    0.168    6.255    0.016 {method 'read' of '_io.TextIOWrapper' objects}
       56    0.001    0.000    0.655    0.012 C:\CodeLearnling\note\note\C++\CPP-Bible\tools\atom_evidence_replay.py:540(_current_toolchain_id)
       56    0.002    0.000    0.628    0.011 C:\CodeLearnling\note\note\C++\CPP-Bible\tools\atom_evidence_replay.py:518(_compiler_id)
      999    0.394    0.000    0.397    0.000 {built-in method _io.open}
      361    0.001    0.000    0.390    0.001 C:\Users\ASUS\AppData\Roaming\uv\python\cpython-3.13-windows-x86_64-none\Lib\pathlib\_local.py:529(open)
      176    0.001    0.000    0.367    0.002 C:\Users\ASUS\AppData\Roaming\uv\python\cpython-3.13-windows-x86_64-none\Lib\pathlib\_abc.py:621(read_bytes)
      112    0.017    0.000    0.165    0.001 C:\CodeLearnling\note\note\C++\CPP-Bible\tools\atom_evidence_replay.py:793(_compiler_env)
      424    0.002    0.000    0.137    0.000 C:\Users\ASUS\AppData\Roaming\uv\python\cpython-3.13-windows-x86_64-none\Lib\pathlib\_local.py:664(resolve)
      424    0.005    0.000    0.130    0.000 <frozen ntpath>:661(realpath)
      638    0.001    0.000    0.128    0.000 C:\Users\ASUS\AppData\Roaming\uv\python\cpython-3.13-windows-x86_64-none\Lib\subprocess.py:1275(wait)
      638    0.003    0.000    0.126    0.000 C:\Users\ASUS\AppData\Roaming\uv\python\cpython-3.13-windows-x86_64-none\Lib\subprocess.py:1596(_wait)
      319    0.122    0.000    0.122    0.000 {built-in method _winapi.WaitForSingleObject}
      848    0.101    0.000    0.101    0.000 {built-in method nt._getfinalpathname}
       56    0.001    0.000    0.090    0.002 C:\CodeLearnling\note\note\C++\CPP-Bible\tools\atom_evidence_replay.py:275(parse_frontmatter)
   296/56    0.014    0.000    0.088    0.002 C:\CodeLearnling\note\note\C++\CPP-Bible\tools\atom_evidence_replay.py:203(_parse_block)
      280    0.080    0.000    0.081    0.000 {built-in method nt.mkdir}
      207    0.004    0.000    0.077    0.000 C:\CodeLearnling\note\note\C++\CPP-Bible\tools\atom_evidence_replay.py:317(_pin_compiler)
      285    0.004    0.000    0.068    0.000 C:\CodeLearnling\note\note\C++\CPP-Bible\tools\atom_evidence_replay.py:293(_split_argv)


